年度,Fiscal year,月次,Month,総数 Total,特別高圧 Extra high voltage,高圧 High voltage,低圧 Low voltage,低圧 Low voltage／特定需要 Regulated rates,低圧 Low voltage／自由料金 Non-regulated rates
平成29,2017,総数,Total,78692235,20061383,26580905,32049947,21773851,10276096
平成30,2018,総数,Total,78199667,20285398,26440853,31473416,18465277,13008139
令和元,2019,総数,Total,77114677,19945440,25922565,31246672,15146286,16100386
令和2,2020,総数,Total,76179553,18811726,24521945,32845883,13365243,19480640
令和3,2021,総数,Total,76346358,19135091,24774204,32437062,11439482,20997580
令和3,2021,4,Apr.,5642706,1462910,1822222,2357574,865166,1492408
令和3,2021,5,May,5222238,1484892,1684152,2053194,762566,1290628
令和3,2021,6,Jun,5618186,1622289,1936574,2059322,732764,1326558
令和3,2021,7,July,6768352,1972703,2352219,2443430,992864,1450566
令和3,2021,8,Aug. ,7374523,1854791,2453093,3066639,1095460,1971179
令和3,2021,9,Sept.,6622972,1624675,2194871,2803426,987887,1815539
令和3,2021,10,Oct.,5702208,1596007,1946775,2159426,763278,1396148
令和3,2021,11,Nov.,5560798,1484300,1832813,2243685,787632,1456053
令和3,2021,12,Dec.,6201039,1541292,2015817,2643930,901133,1742797
令和4,2022,1,Jan.,7465692,1557193,2233681,3674818,1272313,2402505
令和4,2022,2,Feb.,7620029,1445373,2299607,3875049,1261512,2613537
令和4,2022,3,Mar.,6547615,1488666,2002380,3056569,1016907,2039662
,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,
6-1  電力需要実績（平成29～令和3年度） 6-1  ELECTRICITY DEMAND ( Fiscal Years 2017-2021 ),,,,,,,,,
資料：資源エネルギー庁 「都道府県別電力需要実績」 Source: Agency for Natural Resources and Energy ,,,,,,,,,
（単位　1000キロワット時）(In 1000kWh),,,,,,,,,
