地域階層,地域コード,地域,District,項番 Item number,警察署,Police station,総数 Total,凶悪犯 Felonious offenses／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering/Robbery／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering/Robbery／傷人 Bodily injury,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering/Robbery／強制性交等 Forced sexual intercourse， etc. 3),凶悪犯 Felonious offenses／侵入強盗 Breaking & entering/Robbery／普通 Others,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／殺人 Homicide,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／傷人 Bodily injury,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／強制性交等 Forced sexual intercourse， etc. 3),凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／普通 Others,凶悪犯 Felonious offenses／放火 Arson,凶悪犯 Felonious offenses／強制性交等 Forced sexual intercourse， etc. 3),粗暴犯 Violent offenses／凶器準備集合 Unlawful assembly with dangerous weapons,粗暴犯 Violent offenses／暴行 Violence,粗暴犯 Violent offenses／傷害 Bodily injury,粗暴犯 Violent offenses／傷害致死 Bodily injury resulting in death,粗暴犯 Violent offenses／脅迫 Intimidation,粗暴犯 Violent offenses／恐喝 Extortion,窃盗犯 Larcenous offenses／侵入窃盗 Breaking & entering/theft,窃盗犯 Larcenous offenses／非侵入窃盗 Theft without breaking and entering,知能犯 Intellectual offenses／詐欺 Fraud,知能犯 Intellectual offenses／横領 Embezzlement,知能犯 Intellectual offenses／偽造 Counterfeiting,知能犯 Intellectual offenses／汚職 Corruption,知能犯 Intellectual offenses／背任 Breach of trust,風俗犯 Moral offenses／賭博 Gambling,風俗犯 Moral offenses／わいせつ Indecency,その他 Others／占有離脱物横領 Embezzlement of lost properties,その他 Others／公務執行妨害 Obstructing the execution of official duties,その他 Others／住居侵入 Trespassing,その他 Others／盗品等 Stolen properties， etc.,その他 Others／器物損壊等 Damage or destruction of structure， etc.,その他 Others／その他 Others
2,13108,江東区,Koto-ku,28,深川署,Fukagawa P. Sta.,965,-,-,1,-,-,-,1,-,-,2,1,-,53,25,-,10,3,17,549,109,4,10,-,-,-,9,20,6,17,-,122,6
2,13108,江東区,Koto-ku,29,城東署,Joto P. Sta. ,1247,4,-,-,-,-,-,3,-,1,2,4,-,40,38,-,12,1,29,856,77,-,3,-,-,-,13,21,4,13,2,115,9
2,13108,江東区,Koto-ku,30,東京湾岸署,Tokyo Wangan P. Sta.,448,-,-,-,-,-,-,1,-,1,-,-,-,20,14,-,3,-,3,311,25,1,1,-,-,-,4,12,2,2,-,38,10
2,13109,品川区,Shinagawa-ku,31,品川署,Shinagawa P. Sta.,283,-,-,-,-,1,-,-,-,1,1,2,-,18,8,-,4,-,6,147,47,-,3,-,-,-,1,4,-,2,-,32,6
2,13109,品川区,Shinagawa-ku,32,大井署,Oi P. Sta. ,460,-,-,-,-,-,-,1,-,-,-,-,-,21,7,1,1,1,25,287,48,-,3,-,-,-,6,10,1,4,-,39,5
2,13109,品川区,Shinagawa-ku,33,大崎署,Osaki P. Sta.,513,-,-,-,-,-,-,1,-,-,-,1,-,30,14,-,2,-,15,334,23,2,1,-,-,-,11,26,2,3,-,41,7
2,13109,品川区,Shinagawa-ku,34,荏原署,Ebara P. Sta.　,550,1,-,-,-,-,-,-,-,-,-,2,-,13,20,-,1,3,38,333,56,1,3,-,-,-,7,5,7,5,-,47,8
2,13110,目黒区,Meguro-ku,35,目黒署,Meguro P. Sta.,757,-,-,-,-,1,-,1,-,-,-,-,-,36,20,-,3,2,56,409,69,1,3,-,-,-,12,18,4,5,-,98,19
2,13110,目黒区,Meguro-ku,36,碑文谷署,Himon-ya P. Sta.　,662,-,-,-,-,-,-,2,-,-,-,1,-,21,24,-,5,3,19,405,74,2,3,-,-,-,2,8,-,3,-,84,6
2,13111,大田区,Ota-ku,37,大森署,Omori P. Sta.,759,-,-,-,-,-,-,-,-,-,1,3,-,17,19,-,-,3,25,534,44,2,4,-,-,-,5,25,1,5,-,69,2
2,13111,大田区,Ota-ku,38,田園調布署,Den-en Chofu P. Sta.,474,1,-,-,-,-,-,1,-,-,-,-,-,21,11,-,3,-,24,269,59,-,3,-,-,-,4,12,4,7,-,52,3
2,13111,大田区,Ota-ku,39,蒲田署,Kamata P. Sta.,1463,-,-,-,-,1,-,1,-,3,-,4,-,67,34,-,12,2,40,1031,69,2,3,-,-,1,7,52,10,7,2,111,4
2,13111,大田区,Ota-ku,40,池上署,Ikegami P. Sta.,603,1,-,-,-,-,-,-,-,-,2,1,-,30,11,-,3,-,20,364,66,1,3,-,-,-,3,21,4,10,2,56,5
2,13111,大田区,Ota-ku,41,東京空港署,Tokyo Airport P. Sta.,56,-,-,-,-,-,-,1,-,-,-,-,-,9,6,-,1,-,1,19,1,-,1,-,-,-,1,7,1,3,-,3,2
2,13112,世田谷区,Setagaya-ku,42,世田谷署,Setagaya P. Sta.,1083,-,-,-,-,-,-,-,2,1,-,10,-,39,25,-,6,-,27,681,86,-,2,-,-,-,11,26,3,8,-,147,9
2,13112,世田谷区,Setagaya-ku,43,北沢署,Kitazawa P. Sta. ,972,1,-,-,-,-,-,-,1,-,1,2,-,46,27,-,7,-,28,555,111,1,4,-,-,-,10,33,5,16,2,111,11
2,13112,世田谷区,Setagaya-ku,44,玉川署,Tamagawa P. Sta. ,901,-,-,-,-,-,-,1,-,-,1,-,-,37,18,-,7,3,47,532,90,-,-,-,-,-,5,17,4,8,-,121,10
2,13112,世田谷区,Setagaya-ku,45,成城署,Seijo P. Sta.　,1040,1,-,-,-,-,-,1,-,-,2,2,-,38,23,-,6,1,23,666,83,1,1,-,1,-,6,23,7,6,2,139,8
2,13113,渋谷区,Shibuya-ku,46,渋谷署,Shibuya P. Sta.,1709,-,-,-,-,-,-,3,-,7,-,8,-,110,95,-,7,4,44,998,121,7,4,-,-,3,9,38,11,20,6,197,17
2,13113,渋谷区,Shibuya-ku,47,原宿署,Harajuku P. Sta. ,569,1,-,-,-,-,-,-,-,-,-,-,-,17,12,-,-,-,10,383,43,1,9,-,-,-,3,12,3,4,-,58,13
2,13113,渋谷区,Shibuya-ku,48,代々木署,Yoyogi P. Sta.,658,-,-,-,-,1,-,1,-,2,-,1,-,24,11,1,3,3,12,391,61,1,3,-,-,-,6,26,4,7,-,96,4
2,13114,中野区,Nakano-ku,49,中野署,Nakano P. Sta.,994,1,-,-,-,-,-,2,-,1,-,8,-,50,29,-,6,2,20,617,69,1,22,-,-,-,9,41,2,5,-,99,10
2,13114,中野区,Nakano-ku,50,野方署,Nogata P. Sta. ,854,-,-,-,-,-,-,5,-,-,1,3,-,36,27,-,1,-,31,528,69,-,4,-,-,-,12,25,3,7,-,97,5
2,13115,杉並区,Suginami-ku,51,杉並署,Suginami P. Sta.,836,1,-,-,-,1,-,-,-,2,-,2,-,36,24,-,1,1,39,541,33,2,1,-,-,-,7,20,1,9,-,98,17
2,13115,杉並区,Suginami-ku,52,高井戸署,Takaido P. Sta.,690,1,-,1,-,1,-,-,-,2,-,4,-,20,16,-,1,-,25,417,63,-,4,-,-,-,11,25,5,6,-,84,4
